frequency_hz,smoothed_measured_phase_deg,minimum_phase_target_deg,smoothed_spl_db
20,1736.31666881,70.6811578433,97.2708413537
20.5450566515,1736.16537367,70.845865882,97.3565778779
21.1049676407,1735.66179935,71.3404583014,97.4821715223
21.6801377904,1734.81237576,71.9260536819,97.6524003371
22.2709829558,1733.62353277,72.3903529254,97.8686565188
22.8779303256,1732.10170029,72.6907189752,98.1269466546
23.5014187305,1730.25330821,72.8936417298,98.4227975968
24.1418989605,1728.08478641,72.9950230794,98.7517361979
24.7998340909,1725.6025648,72.9807599273,99.1092893103
25.4756998173,1722.81307326,72.7572094825,99.4909837865
26.1699847992,1719.72274169,72.3064550945,99.892346479
26.8831910135,1716.33799998,71.6140917506,100.30890424
27.6158341173,1712.66527801,70.6691374453,100.736183922
28.368443821,1708.7110057,69.4638369022,101.169712378
29.1415642709,1704.48161291,67.993426752,101.60501646
29.935754443,1699.98352956,66.255897394,102.03762302
30.7515885469,1695.22318553,64.2517702955,102.463058912
31.589656441,1690.20701072,62.0647373368,102.876850986
32.4505640592,1684.94143501,59.644220494,103.274526097
33.3349338485,1679.4328883,56.9792101529,103.651611095
34.2434052196,1673.68780048,53.9329159904,104.003632834
35.1766350089,1667.71260145,50.6751944701,104.326118167
36.1352979534,1661.51372109,47.3654167011,104.614593945
37.1200871787,1655.0975893,43.7648386025,104.86458702
38.1317146998,1648.47063598,39.9271331805,105.071624788
39.1709119363,1641.639291,36.1443712213,105.231792821
40.2384302412,1634.60998428,32.0256071825,105.342788835
41.3350414437,1627.3891457,28.0478677927,105.402599883
42.4615384077,1619.98320514,23.8196557419,105.409213018
43.6187356049,1612.39859251,19.7906938628,105.360615294
44.8074697036,1604.6417377,15.6088318973,105.254793764
46.0286001736,1596.7190706,11.5442108915,105.08973548
47.2830099078,1588.6370211,7.64569136922,104.863427498
48.5716058606,1580.40232076,3.79735424543,104.573856868
49.8953197031,1572.02403933,0.136319944011,104.219010645
51.2551084973,1563.51233859,-3.22427664451,103.797005902
52.6519553879,1554.87738651,-6.14079743108,103.31209981
54.0868703129,1546.12935104,-8.58879502362,102.777217633
55.5608907341,1537.27840016,-10.5178533195,102.205939175
57.0750823871,1528.33470182,-11.8977824705,101.611844238
58.6305400517,1519.30842397,-12.6926527032,101.008512626
60.2283883436,1510.2097346,-12.870600813,100.409524142
61.8697825275,1501.04880165,-12.4797448943,99.8284585891
63.5559093523,1491.83579308,-11.630527122,99.2788957699
65.2879879091,1482.58087687,-10.2586464197,98.7744154878
67.0672705129,1473.29422097,-8.39369142908,98.3285975459
68.8950436076,1463.98599333,-6.31555770188,97.9528802897
70.7726286964,1454.66636194,-3.93765159669,97.6469688671
72.7013832972,1445.34549473,-1.51123621991,97.4065705481
74.6827019243,1436.03355969,0.954353268761,97.227389229
76.7180170962,1426.74072476,3.49307578477,97.1051288062
78.8088003718,1417.47715791,5.98994972421,97.0354931762
80.9565634139,1408.25302711,8.41393233949,97.0141862353
83.1628590826,1399.0785003,10.7396794874,97.0369118799
85.4292825577,1389.96374547,12.9474860655,97.0993740065
87.7574724924,1380.91893055,15.0235222331,97.1972765114
90.1491121976,1371.95422353,16.9806398813,97.3263255792
92.6059308593,1363.07979236,18.8653999645,97.4831724393
95.1297047886,1354.30580499,20.5469219788,97.666866491
97.7222587063,1345.6424294,22.1705830465,97.8768318524
100.385467062,1337.09983354,23.5809493537,98.1124926417
103.121255389,1328.68818538,24.8959105296,98.373272977
105.931601697,1320.41765288,26.0470449583,98.6585969764
108.818537903,1312.29840399,27.0050155337,98.967888758
111.784151297,1304.34060874,27.749866695,99.3005724399
114.830586057,1296.55726862,28.2570931153,99.6560721402
117.960044794,1288.9698329,28.5040338299,100.033811977
121.174790145,1281.60131936,28.4851898578,100.432601802
124.477146414,1274.47474579,28.0100449443,100.844489664
127.869501244,1267.61312996,27.1802742796,101.257334654
131.354307354,1261.03948967,25.8783848075,101.658933442
134.9340843,1254.7768427,24.1422228539,102.0370827
138.611420308,1248.84820683,22.0011032343,102.379579097
142.388974139,1243.27659985,19.4833600194,102.674219304
146.269477012,1238.08503954,16.6004889133,102.908799992
150.25573458,1233.29654368,13.4316126259,103.071117832
154.350628959,1228.93413006,10.0783932477,103.148969494
158.557120808,1225.02081646,6.64776229112,103.130192249
162.878251475,1221.57962067,3.30154445063,103.010308595
167.317145193,1218.63356047,0.232001608037,102.801555763
171.877011338,1216.20565365,-2.48491905346,102.518367124
176.561146752,1214.30150557,-4.77979010823,102.175176044
181.372938124,1212.85424727,-6.56071653966,101.786415892
186.31586444,1211.77815659,-7.84981861513,101.366520037
191.3934995,1210.98751135,-8.61889140999,100.929921847
196.609514498,1210.39658935,-8.85238498352,100.49105469
201.96768068,1209.91966841,-8.59312538084,100.064351935
207.471872067,1209.47102634,-7.84839555329,99.66424695
213.126068261,1208.96494094,-6.71491948701,99.3042616313
218.934357317,1208.31569004,-5.25691099486,98.9896146159
224.900938702,1207.43755143,-3.5589867037,98.7210871359
231.030126331,1206.24480294,-1.64659196297,98.4994186264
237.326351684,1204.65172237,0.384511843011,98.3253485226
243.794167013,1202.57258752,2.55629545682,98.1996162595
250.43824863,1199.92167622,4.8002259964,98.1229612724
257.26340029,1196.61326628,7.09874269403,98.0961229963
264.274556667,1192.56160634,9.39218274387,98.1198408666
271.476786914,1187.66629175,11.6595884098,98.1948543182
278.875298336,1181.78852982,13.8312978615,98.3219027864
286.475440151,1174.78331841,15.8481375918,98.5002426584
294.282707359,1166.50565538,17.6495626587,98.7231116626
302.302744713,1156.81053859,19.1870530842,98.982220932
310.541350802,1145.5529659,20.4239626388,99.269281599
319.004482243,1132.58793517,21.3774476639,99.5760047963
327.698257989,1117.77050197,21.9982726447,99.8941016564
336.62896375,1101.06629848,22.3029630289,100.215283312
345.803056539,1082.78179723,22.2921343003,100.531260896
355.227169344,1063.28893301,21.9942755858,100.83374554
364.908115917,1042.95964059,21.4452100677,101.114448378
374.852895705,1022.16585476,20.6782183341,101.36533617
385.068698913,1001.2795103,19.7794673348,101.58367832
395.562911695,980.672541979,18.7935100488,101.771744942
