sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
44100,0.05,8,17,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,9,19,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,10,21,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,11,23,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,12,25,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,13,27,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,14,29,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,15,31,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,16,33,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,17,35,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,18,37,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,19,39,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,20,41,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,21,43,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,22,45,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,23,47,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,24,49,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,25,51,1,-94.9983,8.59375,50,1.13379,0.00122254;-0.000783424;-0.000376269;0.000473974;-0.00179052;0.00284543;-0.00427939;0.0053907;-0.00673952;0.00767873;-0.00742078;0.00660843;-0.00425203;0.000776591;0.00419892;-0.0109618;0.0189249;-0.0275749;0.0374365;-0.0470893;0.0570622;-0.0656778;0.073278;-0.0785188;0.0827311;0.913673;0.0827311;-0.0785188;0.073278;-0.0656778;0.0570622;-0.0470893;0.0374365;-0.0275749;0.0189249;-0.0109618;0.00419892;0.000776591;-0.00425203;0.00660843;-0.00742078;0.00767873;-0.00673952;0.0053907;-0.00427939;0.00284543;-0.00179052;0.000473974;-0.000376269;-0.000783424;0.00122254
44100,0.05,26,53,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,27,55,1,-95,10.9323,54,1.22449,-0.00122682;6.452e-05;0.00108954;-0.00103859;0.00222858;-0.00227708;0.00279945;-0.00209493;0.00127539;0.000809044;-0.00310193;0.00627484;-0.00914574;0.0118764;-0.0132788;0.0131662;-0.010506;0.0053105;0.00308002;-0.0140789;0.0274818;-0.0425807;0.0583189;-0.0734147;0.086885;-0.0973744;0.104105;0.890707;0.104105;-0.0973744;0.086885;-0.0734147;0.0583189;-0.0425807;0.0274818;-0.0140789;0.00308002;0.0053105;-0.010506;0.0131662;-0.0132788;0.0118764;-0.00914574;0.00627484;-0.00310193;0.000809044;0.00127539;-0.00209493;0.00279945;-0.00227708;0.00222858;-0.00103859;0.00108954;6.452e-05;-0.00122682
44100,0.05,28,57,1,-94.9998,12.0917,50,1.13379,0.00073301;-6.80282e-05;-0.000870003;0.00131929;-0.00286525;0.00390258;-0.00447334;0.00499082;-0.0039166;0.0024344;-0.000590569;-0.00329237;0.00780763;-0.0126958;0.0160071;-0.019126;0.0200492;-0.0177889;0.0127869;-0.00353282;-0.00870032;0.0248682;-0.0415446;0.0602428;-0.0780134;0.0943012;-0.106405;0.114447;0.879987;0.114447;-0.106405;0.0943012;-0.0780134;0.0602428;-0.0415446;0.0248682;-0.00870032;-0.00353282;0.0127869;-0.0177889;0.0200492;-0.019126;0.0160071;-0.0126958;0.00780763;-0.00329237;-0.000590569;0.0024344;-0.0039166;0.00499082;-0.00447334;0.00390258;-0.00286525;0.00131929;-0.000870003;-6.80282e-05;0.00073301
44100,0.05,29,59,1,-94.9994,8.46501,58,1.31519,0.00231912;-0.00178563;0.0021189;-0.00222382;0.00195764;-0.00123777;5.0334e-05;0.00157633;-0.00356483;0.00576179;-0.0079364;0.00981059;-0.0110899;0.0114789;-0.010705;0.00857089;-0.00500424;3.97184e-05;0.0062744;-0.0140155;0.0225049;-0.0316263;0.0410348;-0.0502425;0.0588295;-0.0664494;0.0727772;-0.0775146;0.0804379;0.915706;0.0804379;-0.0775146;0.0727772;-0.0664494;0.0588295;-0.0502425;0.0410348;-0.0316263;0.0225049;-0.0140155;0.0062744;3.97184e-05;-0.00500424;0.00857089;-0.010705;0.0114789;-0.0110899;0.00981059;-0.0079364;0.00576179;-0.00356483;0.00157633;5.0334e-05;-0.00123777;0.00195764;-0.00222382;0.0021189;-0.00178563;0.00231912
44100,0.05,30,61,1,-94.9979,11.535,60,1.36054,0.00191585;-0.00184353;0.00150375;-0.00189969;0.000963671;-0.000168599;-0.00113955;0.00261753;-0.00401921;0.00547355;-0.00567085;0.00539496;-0.00338378;0.000982456;0.00308538;-0.00710059;0.0116172;-0.0144986;0.0161472;-0.0149194;0.0108414;-0.00293087;-0.00835953;0.022838;-0.0395225;0.0568699;-0.0742986;0.0896298;-0.102058;0.109551;0.884764;0.109551;-0.102058;0.0896298;-0.0742986;0.0568699;-0.0395225;0.022838;-0.00835953;-0.00293087;0.0108414;-0.0149194;0.0161472;-0.0144986;0.0116172;-0.00710059;0.00308538;0.000982456;-0.00338378;0.00539496;-0.00567085;0.00547355;-0.00401921;0.00261753;-0.00113955;-0.000168599;0.000963671;-0.00189969;0.00150375;-0.00184353;0.00191585
44100,0.05,31,63,0,-94.4385,12.8006,60,1.36054,0.000212144;0.00128874;-0.00113091;0.000258033;0.000152747;-0.000580722;0.00227016;-0.00302378;0.00494723;-0.00590394;0.00659986;-0.00639118;0.00461607;-0.00190299;-0.00250059;0.00770891;-0.0132432;0.0186385;-0.0223515;0.0241108;-0.0225683;0.0173181;-0.00824153;-0.00516385;0.021449;-0.0407727;0.0607613;-0.0805153;0.0980318;-0.11181;0.121;0.873473;0.121;-0.11181;0.0980318;-0.0805153;0.0607613;-0.0407727;0.021449;-0.00516385;-0.00824153;0.0173181;-0.0225683;0.0241108;-0.0223515;0.0186385;-0.0132432;0.00770891;-0.00250059;-0.00190299;0.00461607;-0.00639118;0.00659986;-0.00590394;0.00494723;-0.00302378;0.00227016;-0.000580722;0.000152747;0.000258033;-0.00113091;0.00128874;0.000212144
