sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
176400,0.03,14,29,1,-94.9991,1.17188,28,0.15873,"0.00110567;0.00153183;-0.00611935;-0.0042222;0.00611935;0.00611935;0.00611935;-0.00609055;-0.00608321;-0.00611935;-0.00611935;-0.00611935;-0.00611935;0.264905;0.522185;0.264905;-0.00611935;-0.00611935;-0.00611935;-0.00611935;-0.00608321;-0.00609055;0.00611935;0.00611935;0.00611935;-0.0042222;-0.00611935;0.00153183;0.00110567"
176400,0.04,14,29,1,-94.9957,1.17188,26,0.147392,"-9.82967e-05;0.00239293;-0.00451595;-0.00550494;0.00611064;0.00611064;0.00611064;-0.00574284;-0.00611064;-0.00611064;-0.00611064;-0.00611064;-0.00611064;0.26497;0.521441;0.26497;-0.00611064;-0.00611064;-0.00611064;-0.00611064;-0.00611064;-0.00574284;0.00611064;0.00611064;0.00611064;-0.00550494;-0.00451595;0.00239293;-9.82967e-05"
176400,0.06,14,29,1,-94.9944,10.9677,4,0.0226757,"0.000405249;-0.000616766;0.000616766;-0.000616766;0.000616766;-0.000616766;0.000616766;-0.000616766;0.000616766;-9.83504e-05;0.000616766;0.000616766;-0.0692688;0.251944;0.631568;0.251944;-0.0692688;0.000616766;0.000616766;-9.83504e-05;0.000616766;-0.000616766;0.000616766;-0.000616766;0.000616766;-0.000616766;0.000616766;-0.000616766;0.000405249"
176400,0.07,14,29,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.08,9,19,1,-94.9992,1.46484,18,0.102041,"0.00224168;0.00648079;-0.00118803;-0.00378956;-0.00769619;-0.00769619;-0.00769619;-0.00769619;0.264343;0.525393;0.264343;-0.00769619;-0.00769619;-0.00769619;-0.00769619;-0.00378956;-0.00118803;0.00648079;0.00224168"
176400,0.09,9,19,1,-94.999,1.36719,18,0.102041,"0.00309463;0.00699733;-0.00261044;-0.00454496;-0.00716034;-0.00716034;-0.00716034;-0.00716034;0.263841;0.523728;0.263841;-0.00716034;-0.00716034;-0.00716034;-0.00716034;-0.00454496;-0.00261044;0.00699733;0.00309463"
176400,0.11,9,19,1,-94.9963,1.36719,18,0.102041,"0.00613635;0.00565082;-0.00709948;-0.00108548;-0.00709948;-0.00709948;-0.00709948;-0.00709948;0.265158;0.519276;0.265158;-0.00709948;-0.00709948;-0.00709948;-0.00709948;-0.00108548;-0.00709948;0.00565082;0.00613635"
176400,0.12,9,19,1,-94.9974,1.26953,18,0.102041,"0.00582239;0.0065903;-0.0065903;-0.00297064;-0.0065903;-0.0065903;-0.0065903;-0.0065903;0.263953;0.519113;0.263953;-0.0065903;-0.0065903;-0.0065903;-0.0065903;-0.00297064;-0.0065903;0.0065903;0.00582239"
176400,0.13,11,23,1,-94.9992,1.17188,20,0.113379,"-5.20093e-05;0.000976134;0.00310809;0.00612343;-0.00314859;-0.00612343;-0.00612343;-0.00612343;-0.00612343;-0.00612343;0.262344;0.522533;0.262344;-0.00612343;-0.00612343;-0.00612343;-0.00612343;-0.00612343;-0.00314859;0.00612343;0.00310809;0.000976134;-5.20093e-05"
176400,0.14,11,23,1,-94.9999,9.96497,22,0.124717,"0.00144851;0.0017774;-0.0017774;0.0017774;-0.0017774;0.0017774;-0.0017774;0.0017774;-0.0017774;-0.0604559;0.255665;0.606684;0.255665;-0.0604559;-0.0017774;0.0017774;-0.0017774;0.0017774;-0.0017774;0.0017774;-0.0017774;0.0017774;0.00144851"
176400,0.16,11,23,1,-94.9954,1.07422,22,0.124717,"-0.000714835;0.000425291;0.00402408;0.0056028;-0.00487431;-0.0056028;-0.0056028;-0.0056028;-0.0056028;-0.0056028;0.262766;0.52157;0.262766;-0.0056028;-0.0056028;-0.0056028;-0.0056028;-0.0056028;-0.00487431;0.0056028;0.00402408;0.000425291;-0.000714835"
176400,0.17,11,23,1,-94.9982,1.07422,20,0.113379,"0.0002987;0.000993557;0.00324249;0.00559004;-0.00474902;-0.00559004;-0.00559004;-0.00559004;-0.00559004;-0.00559004;0.262383;0.520382;0.262383;-0.00559004;-0.00559004;-0.00559004;-0.00559004;-0.00559004;-0.00474902;0.00559004;0.00324249;0.000993557;0.0002987"
176400,0.18,15,31,1,-94.9972,7.51432,8,0.0453515,"-0.000549508;-0.000549508;-0.000549508;0.000132128;0.000549508;0.000549508;0.000549508;0.000549508;0.000549508;0.000549508;0.000549508;0.00970814;-0.0241488;-0.0422828;0.273045;0.562696;0.273045;-0.0422828;-0.0241488;0.00970814;0.000549508;0.000549508;0.000549508;0.000549508;0.000549508;0.000549508;0.000549508;0.000132128;-0.000549508;-0.000549508;-0.000549508"
176400,0.19,15,31,1,-94.9973,0.78125,28,0.15873,"-3.48809e-05;-0.00374982;-0.00403201;0.00403201;0.00403201;0.00403201;0.00330478;-0.000262061;-0.00403201;-0.00403201;-0.00403201;-0.00403201;-0.00403201;-0.00403201;0.258822;0.516097;0.258822;-0.00403201;-0.00403201;-0.00403201;-0.00403201;-0.00403201;-0.00403201;-0.000262061;0.00330478;0.00403201;0.00403201;0.00403201;-0.00403201;-0.00374982;-3.48809e-05"
176400,0.21,15,31,1,-94.9992,0.78125,30,0.170068,"0.0011204;-0.00402496;-0.00402496;0.00402496;0.00146897;0.00402496;0.00402496;0.000447825;-0.00402496;-0.00402496;-0.00402496;-0.00402496;-0.00402496;-0.00402496;0.25949;0.515195;0.25949;-0.00402496;-0.00402496;-0.00402496;-0.00402496;-0.00402496;-0.00402496;0.000447825;0.00402496;0.00402496;0.00146897;0.00402496;-0.00402496;-0.00402496;0.0011204"
176400,0.22,15,31,1,-94.9956,0.78125,30,0.170068,"0.00159657;-0.00402639;-0.00402639;0.00402639;0.000633439;0.00402639;0.00402639;0.000359443;-0.00402639;-0.00402639;-0.00402639;-0.00402639;-0.00402639;-0.00402639;0.259854;0.515378;0.259854;-0.00402639;-0.00402639;-0.00402639;-0.00402639;-0.00402639;-0.00402639;0.000359443;0.00402639;0.00402639;0.000633439;0.00402639;-0.00402639;-0.00402639;0.00159657"
176400,0.23,20,41,1,-95,0.585938,38,0.21542,"3.64158e-05;0.00302237;0.00132241;-0.00115011;-0.000201391;-0.00302237;-0.00302237;-0.00302237;0.00302237;0.00302237;0.00302237;0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.00302237;0.257196;0.515818;0.257196;-0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.00302237;0.00302237;0.00302237;0.00302237;0.00302237;-0.00302237;-0.00302237;-0.00302237;-0.000201391;-0.00115011;0.00132241;0.00302237;3.64158e-05"
176400,0.24,20,41,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.26,20,41,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.27,20,41,1,-94.9974,0.585938,40,0.226757,"0.00302215;0.00302215;-0.00302215;-0.00112828;0.00118098;-0.00258968;-0.00302215;-0.00302215;0.00302215;0.00302215;0.00302215;0.00302215;-0.00302215;-0.00302215;-0.00302215;-0.00302215;-0.00302215;-0.00302215;-0.00302215;0.256736;0.51578;0.256736;-0.00302215;-0.00302215;-0.00302215;-0.00302215;-0.00302215;-0.00302215;-0.00302215;0.00302215;0.00302215;0.00302215;0.00302215;-0.00302215;-0.00302215;-0.00258968;0.00118098;-0.00112828;-0.00302215;0.00302215;0.00302215"
176400,0.28,15,31,1,-94.9975,0.683594,28,0.15873,"-1.98428e-05;-0.00350672;-0.00350672;0.00350672;0.00278843;0.00350672;0.00350672;0.000526122;-0.00350672;-0.00350672;-0.00350672;-0.00350672;-0.00350672;-0.00350672;0.257747;0.512984;0.257747;-0.00350672;-0.00350672;-0.00350672;-0.00350672;-0.00350672;-0.00350672;0.000526122;0.00350672;0.00350672;0.00278843;0.00350672;-0.00350672;-0.00350672;-1.98428e-05"
176400,0.29,15,31,1,-94.9953,0.683594,28,0.15873,"-0.000134127;-0.00349221;-0.00349221;0.00341488;0.00349221;0.00349221;0.00349221;0.00163557;-0.00349221;-0.00349221;-0.00349221;-0.00349221;-0.00349221;-0.00349221;0.257115;0.51086;0.257115;-0.00349221;-0.00349221;-0.00349221;-0.00349221;-0.00349221;-0.00349221;0.00163557;0.00349221;0.00349221;0.00349221;0.00341488;-0.00349221;-0.00349221;-0.000134127"
176400,0.31,15,31,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.32,15,31,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.33,21,43,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.34,21,43,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.36,21,43,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
176400,0.37,21,43,0,0,1e+300,0,0,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
